artist,song
Morgan Wallen,Last Night
Luke Combs,Fast Car
Rema & Selena Gomez,Calm Down
Miley Cyrus,Flowers
Lil Durk Featuring J. Cole,All My Life
Toosii,Favorite Song
Taylor Swift Featuring Ice Spice,Karma
SZA,Kill Bill
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Eslabon Armado X Peso Pluma,Ella Baila Sola
Miguel,Sure Thing
Taylor Swift,Anti-Hero
SZA,Snooze
Zach Bryan,Something In The Orange
The Weeknd & Ariana Grande,Die For You
Gunna,Fukumean
Jelly Roll,Need A Favor
Taylor Swift,Cruel Summer
Yng Lvcas x Peso Pluma,La Bebe
Morgan Wallen,You Proof
Grupo Frontera X Bad Bunny,Un x100to
Morgan Wallen,Thinkin' Bout Me
Bailey Zimmerman,Rock And A Hard Place
Fifty Fifty,Cupid
Drake,Search & Rescue
Post Malone,Chemical
Ed Sheeran,Eyes Closed
Jordan Davis,Next Thing You Know
Gunna,Back To The Moon
Bad Bunny,Where She Goes
Doja Cat,Attention
David Guetta & Bebe Rexha,I'm Good (Blue)
Morgan Wallen,Thought You Should Know
Dua Lipa,Dance The Night
Tyler Hubbard,Dancin' In The Country
Bailey Zimmerman,Religiously
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
Old Dominion,Memory Lane
Latto Featuring Cardi B,Put It On Da Floor Again
Kali,Area Codes
Lil Durk Featuring Morgan Wallen,Stand By Me
Gunna,Rodeo Dr
Megan Moroney,Tennessee Orange
Bizarrap & Peso Pluma,"Bzrp Music Sessions, Vol. 55"
Luke Combs,Love You Anyway
Morgan Wallen,One Thing At A Time
Fuerza Regida,TQM
Coi Leray,Players
Chris Brown,Under The Influence
Kane Brown With Katelyn Brown,Thank God
Gunna,Back At It
Gunna,Bread & Butter
Ice Spice & Nicki Minaj,Princess Diana
Peso Pluma,Bye
"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",Calling
David Kushner,Daylight
Doechii Featuring Kodak Black,What It Is (Block Boy)
"Metro Boomin, Swae Lee, Lil Wayne & Offset",Annihilate
Kane Brown,Bury Me In Georgia
Gunna,Ca$h $hit
Metro Boomin & Coi Leray,Self Love
Gunna,Bottom
Scotty McCreery,It Matters To Her
Noah Kahan,Dial Drunk
Peso Pluma X Natanael Cano,PRC
Peso Pluma,Por Las Noches
Post Malone,Mourning
"Metro Boomin, A$AP Rocky & Roisee",Am I Dreaming
Jonas Brothers,Waffle House
"Tyler, The Creator Featuring Kali Uchis",See You Again
Karol G x Shakira,TQG
Jon Pardi,Your Heart Or Mine
Young Nudy Featuring 21 Savage,Peaches & Eggplants
Junior H x Peso Pluma,El Azul
Justin Moore & Priscilla Block,"You, Me, & Whiskey"
Gunna,IDK NoMore
Gunna,P Angels
Morgan Wallen Featuring ERNEST,Cowgirls
"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
"The Weeknd, Playboi Carti & Madonna",Popular
Rod Wave,Fight The Feeling
NLE Choppa,Slut Me Out
Gunna,Paybach
El Alfa x Peso Pluma,Plebada
Jelly Roll With Lainey Wilson,Save Me
Yahritza y Su Esencia x Grupo Frontera,Fragil
Miley Cyrus,Jaded
Coco Jones,ICU
HARDY,Truck Bed
Morgan Wallen,Ain't That Some
DaBaby,Shake Sumn
P!nk,Trustfall
Libianca,People
Gunna,Go Crazy
Becky G & Peso Pluma,Chanel
"Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long","Angel, Pt. 1"
Parmalee,Girl In Mine
Kali Uchis,Moonlight
Feid x Young Miko,Classy 101
Gucci Mane & Lil Baby,Bluffin
