artist,song
morgan wallen,last night
luke combs,fast car
rema & selena gomez,calm down
miley cyrus,flowers
lil durk featuring j. cole,all my life
toosii,favorite song
taylor swift featuring ice spice,karma
sza,kill bill
"metro boomin, the weeknd & 21 savage",creepin'
eslabon armado x peso pluma,ella baila sola
miguel,sure thing
taylor swift,anti-hero
sza,snooze
zach bryan,something in the orange
the weeknd & ariana grande,die for you
gunna,fukumean
jelly roll,need a favor
taylor swift,cruel summer
yng lvcas x peso pluma,la bebe
morgan wallen,you proof
grupo frontera x bad bunny,un x100to
morgan wallen,thinkin' bout me
bailey zimmerman,rock and a hard place
fifty fifty,cupid
drake,search & rescue
post malone,chemical
ed sheeran,eyes closed
jordan davis,next thing you know
gunna,back to the moon
bad bunny,where she goes
doja cat,attention
david guetta & bebe rexha,i'm good (blue)
morgan wallen,thought you should know
dua lipa,dance the night
tyler hubbard,dancin' in the country
bailey zimmerman,religiously
pinkpantheress & ice spice,"boy's a liar, pt. 2"
old dominion,memory lane
latto featuring cardi b,put it on da floor again
kali,area codes
lil durk featuring morgan wallen,stand by me
gunna,rodeo dr
megan moroney,tennessee orange
bizarrap & peso pluma,"bzrp music sessions, vol. 55"
luke combs,love you anyway
morgan wallen,one thing at a time
fuerza regida,tqm
coi leray,players
chris brown,under the influence
kane brown with katelyn brown,thank god
gunna,back at it
gunna,bread & butter
ice spice & nicki minaj,princess diana
peso pluma,bye
"metro boomin, swae lee & nav featuring a boogie wit da hoodie",calling
david kushner,daylight
doechii featuring kodak black,what it is (block boy)
"metro boomin, swae lee, lil wayne & offset",annihilate
kane brown,bury me in georgia
gunna,ca$h $hit
metro boomin & coi leray,self love
gunna,bottom
scotty mccreery,it matters to her
noah kahan,dial drunk
peso pluma x natanael cano,prc
peso pluma,por las noches
post malone,mourning
"metro boomin, a$ap rocky & roisee",am i dreaming
jonas brothers,waffle house
"tyler, the creator featuring kali uchis",see you again
karol g x shakira,tqg
jon pardi,your heart or mine
young nudy featuring 21 savage,peaches & eggplants
junior h x peso pluma,el azul
justin moore & priscilla block,"you, me, & whiskey"
gunna,idk nomore
gunna,p angels
morgan wallen featuring ernest,cowgirls
"david guetta, anne-marie & coi leray",baby don't hurt me
"the weeknd, playboi carti & madonna",popular
rod wave,fight the feeling
nle choppa,slut me out
gunna,paybach
el alfa x peso pluma,plebada
jelly roll with lainey wilson,save me
yahritza y su esencia x grupo frontera,fragil
miley cyrus,jaded
coco jones,icu
hardy,truck bed
morgan wallen,ain't that some
dababy,shake sumn
p!nk,trustfall
libianca,people
gunna,go crazy
becky g & peso pluma,chanel
"kodak black, nle choppa, jimin, jvke & muni long","angel, pt. 1"
parmalee,girl in mine
kali uchis,moonlight
feid x young miko,classy 101
gucci mane & lil baby,bluffin
